ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-01-01T00:00:00Z,1942.3412581576617,-3212.530727897201,-3212.530727897201,-3212.530727897201,-2014.8575773752016,-2014.8575773752016,-2014.8575773752016,-1401.5274386528592,-1401.5274386528592,-1401.5274386528592,203.85428813086065,203.85428813086065,203.85428813086065,0,0,0,-3290.7607783185863,827.4351813359929,1942.3412581576617,1942.3412581576617,-1270.1894697395392
2022-01-02T00:00:00Z,1942.9466483729964,-3715.809815474699,-3715.809815474699,-3715.809815474699,-1801.716494444136,-1801.716494444136,-1801.716494444136,-2050.095653887288,-2050.095653887288,-2050.095653887288,136.00233285672462,136.00233285672462,136.00233285672462,0,0,0,-3801.2836303462955,230.5015656821586,1942.9466483729964,1942.9466483729964,-1772.8631671017026
2022-01-03T00:00:00Z,1943.5520385883306,-1086.9244109927545,-1086.9244109927545,-1086.9244109927545,-1382.2603699685078,-1382.2603699685078,-1382.2603699685078,228.5166988086765,228.5166988086765,228.5166988086765,66.81926016707705,66.81926016707705,66.81926016707705,0,0,0,-1080.0523010699312,2883.0714032201763,1943.5520385883306,1943.5520385883306,856.6276275955761
2022-01-04T00:00:00Z,1944.157428803665,-404.4020572346021,-404.4020572346021,-404.4020572346021,-1170.331642657113,-1170.331642657113,-1170.331642657113,768.5481015211074,768.5481015211074,768.5481015211074,-2.6185160985966913,-2.6185160985966913,-2.6185160985966913,0,0,0,-429.76977974783097,3597.935337381195,1944.157428803665,1944.157428803665,1539.7553715690628
2022-01-05T00:00:00Z,1944.7628190189996,-473.4781063768358,-473.4781063768358,-473.4781063768358,-1207.9524674031577,-1207.9524674031577,-1207.9524674031577,805.7055426526746,805.7055426526746,805.7055426526746,-71.23118162635245,-71.23118162635245,-71.23118162635245,0,0,0,-595.7417236115903,3497.437782264742,1944.7628190189996,1944.7628190189996,1471.2847126421639
2022-01-06T00:00:00Z,1945.368209234334,-600.0107379290371,-600.0107379290371,-600.0107379290371,-1266.8716953520627,-1266.8716953520627,-1266.8716953520627,804.8203231244427,804.8203231244427,804.8203231244427,-137.95936570141697,-137.95936570141697,-137.95936570141697,0,0,0,-743.8085281029549,3466.861729526053,1945.368209234334,1945.368209234334,1345.357471305297
2022-01-07T00:00:00Z,1945.9735994496682,-510.61416947516653,-510.61416947516653,-510.61416947516653,-1152.8590759969507,-1152.8590759969507,-1152.8590759969507,844.0324264262005,844.0324264262005,844.0324264262005,-201.7875199044163,-201.7875199044163,-201.7875199044163,0,0,0,-664.9496515851923,3444.040038640193,1945.9735994496682,1945.9735994496682,1435.3594299745016
2022-01-08T00:00:00Z,1946.5789896650028,-2561.904852793716,-2561.904852793716,-2561.904852793716,-898.611166834865,-898.611166834865,-898.611166834865,-1401.527438645719,-1401.527438645719,-1401.527438645719,-261.7662473131327,-261.7662473131327,-261.7662473131327,0,0,0,-2559.9117759744554,1473.4230274965423,1946.5789896650028,1946.5789896650028,-615.3258631287133
2022-01-09T00:00:00Z,1947.1843798803372,-3054.397545022905,-3054.397545022905,-3054.397545022905,-687.2688672396671,-687.2688672396671,-687.2688672396671,-2050.0956538868127,-2050.0956538868127,-2050.0956538868127,-317.0330238964256,-317.0330238964256,-317.0330238964256,0,0,0,-3238.3521432923117,810.851722349649,1947.1843798803372,1947.1843798803372,-1107.2131651425677
2022-01-10T00:00:00Z,1947.7897700956714,-769.1796875323453,-769.1796875323453,-769.1796875323453,-630.865592017086,-630.865592017086,-630.865592017086,228.51669881043856,228.51669881043856,228.51669881043856,-366.83079432569804,-366.83079432569804,-366.83079432569804,0,0,0,-800.712612709114,3057.80631011667,1947.7897700956714,1947.7897700956714,1178.6100825633262
