ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,Christmas,Christmas_lower,Christmas_upper,CNY,CNY_lower,CNY_upper,holidays,holidays_lower,holidays_upper,Minor_PH,Minor_PH_lower,Minor_PH_upper,monthly,monthly_lower,monthly_upper,Raya_AA,Raya_AA_lower,Raya_AA_upper,Raya_AF,Raya_AF_lower,Raya_AF_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-01-01T00:00:00Z,2102.147363491915,-4808.659580942346,-4808.659580942346,-4808.659580942346,0,0,0,0,0,0,-1758.4938876547242,-1758.4938876547242,-1758.4938876547242,-1758.4938876547242,-1758.4938876547242,-1758.4938876547242,-1961.1719631154044,-1961.1719631154044,-1961.1719631154044,0,0,0,0,0,0,-1463.92739450937,-1463.92739450937,-1463.92739450937,374.93366433715266,374.93366433715266,374.93366433715266,0,0,0,-4635.212756494111,-831.1128273712957,2102.147363491915,2102.147363491915,-2706.5122174504313
2022-01-02T00:00:00Z,2102.757368359886,-3568.3194953012335,-3568.3194953012335,-3568.3194953012335,0,0,0,0,0,0,0,0,0,0,0,0,-1779.9648847775334,-1779.9648847775334,-1779.9648847775334,0,0,0,0,0,0,-2074.6234087874864,-2074.6234087874864,-2074.6234087874864,286.268798263787,286.268798263787,286.268798263787,0,0,0,-3211.391970628864,585.3009418215031,2102.757368359886,2102.757368359886,-1465.5621269413473
2022-01-03T00:00:00Z,2103.3673732278576,-785.5015849695221,-785.5015849695221,-785.5015849695221,0,0,0,0,0,0,0,0,0,0,0,0,-1382.9636313704643,-1382.9636313704643,-1382.9636313704643,0,0,0,0,0,0,403.8190813289747,403.8190813289747,403.8190813289747,193.64296507196758,193.64296507196758,193.64296507196758,0,0,0,-479.56012613443033,3311.249959372713,2103.3673732278576,2103.3673732278576,1317.8657882583354
2022-01-04T00:00:00Z,2103.9773780958294,-364.38416209672835,-364.38416209672835,-364.38416209672835,0,0,0,0,0,0,0,0,0,0,0,0,-1206.5133141538888,-1206.5133141538888,-1206.5133141538888,0,0,0,0,0,0,743.4385997417436,743.4385997417436,743.4385997417436,98.69055231541724,98.69055231541724,98.69055231541724,0,0,0,-180.52172638804075,3756.6444601734547,2103.9773780958294,2103.9773780958294,1739.5932159991012
2022-01-05T00:00:00Z,2104.587382963801,-488.51323624268434,-488.51323624268434,-488.51323624268434,0,0,0,0,0,0,0,0,0,0,0,0,-1293.5715480995564,-1293.5715480995564,-1293.5715480995564,0,0,0,0,0,0,801.954529279476,801.954529279476,801.954529279476,3.1037825773955032,3.1037825773955032,3.1037825773955032,0,0,0,-321.233722235394,3444.6403375373397,2104.587382963801,2104.587382963801,1616.0741467211164
2022-01-06T00:00:00Z,2105.197387831772,-679.5775245676924,-679.5775245676924,-679.5775245676924,0,0,0,0,0,0,0,0,0,0,0,0,-1386.209892086041,-1386.209892086041,-1386.209892086041,0,0,0,0,0,0,798.0372073418133,798.0372073418133,798.0372073418133,-91.40483982346409,-91.40483982346409,-91.40483982346409,0,0,0,-369.8490538536203,3349.059722266885,2105.197387831772,2105.197387831772,1425.6198632640799
2022-01-07T00:00:00Z,2105.8073926997436,-650.8017659119234,-650.8017659119234,-650.8017659119234,0,0,0,0,0,0,0,0,0,0,0,0,-1258.96235170328,-1258.96235170328,-1258.96235170328,0,0,0,0,0,0,791.3013855985553,791.3013855985553,791.3013855985553,-183.14079980719842,-183.14079980719842,-183.14079980719842,0,0,0,-663.7476675676872,3491.3084957250558,2105.8073926997436,2105.8073926997436,1455.0056267878201
2022-01-08T00:00:00Z,2106.4173975677154,-2683.5564589506243,-2683.5564589506243,-2683.5564589506243,0,0,0,0,0,0,0,0,0,0,0,0,-949.1634349615578,-949.1634349615578,-949.1634349615578,0,0,0,0,0,0,-1463.9273945022608,-1463.9273945022608,-1463.9273945022608,-270.4656294868059,-270.4656294868059,-270.4656294868059,0,0,0,-2317.9457392692207,1322.4101214379968,2106.4173975677154,2106.4173975677154,-577.139061382909
2022-01-09T00:00:00Z,2107.027402435687,-3111.3526438437098,-3111.3526438437098,-3111.3526438437098,0,0,0,0,0,0,0,0,0,0,0,0,-684.8954122032594,-684.8954122032594,-684.8954122032594,0,0,0,0,0,0,-2074.6234087869284,-2074.6234087869284,-2074.6234087869284,-351.8338228535216,-351.8338228535216,-351.8338228535216,0,0,0,-2806.0313378187943,1008.2419509443345,2107.027402435687,2107.027402435687,-1004.325241408023
2022-01-10T00:00:00Z,2107.637407303658,-647.2358920243508,-647.2358920243508,-647.2358920243508,0,0,0,0,0,0,0,0,0,0,0,0,-625.2272721918331,-625.2272721918331,-625.2272721918331,0,0,0,0,0,0,403.8190813307286,403.8190813307286,403.8190813307286,-425.82770116324645,-425.82770116324645,-425.82770116324645,0,0,0,-493.80337146418634,3263.3428795092896,2107.637407303658,2107.637407303658,1460.4015152793072
2022-01-11T00:00:00Z,2108.2474121716295,-445.7960323584623,-445.7960323584623,-445.7960323584623,0,0,0,0,0,0,0,0,0,0,0,0,-698.0452616446969,-698.0452616446969,-698.0452616446969,0,0,0,0,0,0,743.4385997417273,743.4385997417273,743.4385997417273,-491.18937045549245,-491.18937045549245,-491.18937045549245,0,0,0,-230.60896809549752,3692.3740228613196,2108.2474121716295,2108.2474121716295,1662.4513798131673
2022-01-12T00:00:00Z,2108.857417039601,-440.0288899792413,-440.0288899792413,-440.0288899792413,0,0,0,0,0,0,0,0,0,0,0,0,-695.1344370874976,-695.1344370874976,-695.1344370874976,0,0,0,0,0,0,801.9545292792322,801.9545292792322,801.9545292792322,-546.8489821709754,-546.8489821709754,-546.8489821709754,0,0,0,-248.0157683633933,3461.8446302238835,2108.857417039601,2108.857417039601,1668.8285270603596
2022-01-13T00:00:00Z,2109.4674219075728,-301.6955564487694,-301.6955564487694,-301.6955564487694,0,0,0,0,0,0,0,0,0,0,0,0,-507.78416606827324,-507.78416606827324,-507.78416606827324,0,0,0,0,0,0,798.0372073411753,798.0372073411753,798.0372073411753,-591.9485977216717,-591.9485977216717,-591.9485977216717,0,0,0,-157.42474054618455,3626.9918195346836,2109.4674219075728,2109.4674219075728,1807.7718654588034
2022-01-14T00:00:00Z,2110.077426775544,-79.86327991772527,-79.86327991772527,-79.86327991772527,0,0,0,0,0,0,0,0,0,0,0,0,-245.30359969570358,-245.30359969570358,-245.30359969570358,0,0,0,0,0,0,791.3013856033044,791.3013856033044,791.3013856033044,-625.861065825326,-625.861065825326,-625.861065825326,0,0,0,70.8164331188048,3839.7526995055186,2110.077426775544,2110.077426775544,2030.2141468578188
2022-01-15T00:00:00Z,2110.6874316435155,-2223.1457882762,-2223.1457882762,-2223.1457882762,0,0,0,0,0,0,0,0,0,0,0,0,-111.01494909091696,-111.01494909091696,-111.01494909091696,0,0,0,0,0,0,-1463.927394503264,-1463.927394503264,-1463.927394503264,-648.2034446820186,-648.2034446820186,-648.2034446820186,0,0,0,-1964.8682418691328,1873.1130725587327,2110.6874316435155,2110.6874316435155,-112.45835663268463
2022-01-16T00:00:00Z,2111.297436511487,-2904.961172033408,-2904.961172033408,-2904.961172033408,0,0,0,0,0,0,0,0,0,0,0,0,-171.49312674687707,-171.49312674687707,-171.49312674687707,0,0,0,0,0,0,-2074.6234087846,-2074.6234087846,-2074.6234087846,-658.8446365019308,-658.8446365019308,-658.8446365019308,0,0,0,-2854.5111714811414,1106.0955030168564,2111.297436511487,2111.297436511487,-793.6637355219209
2022-01-17T00:00:00Z,2111.9074413794588,-525.1690114839367,-525.1690114839367,-525.1690114839367,0,0,0,0,0,0,0,0,0,0,0,0,-271.0810468371467,-271.0810468371467,-271.0810468371467,0,0,0,0,0,0,403.8190813324821,403.8190813324821,403.8190813324821,-657.9070459792722,-657.9070459792722,-657.9070459792722,0,0,0,-337.1473703860546,3484.4252912366433,2111.9074413794588,2111.9074413794588,1586.7384298955221
2022-01-18T00:00:00Z,2112.51744624743,-1852.7439141778314,-1852.7439141778314,-1852.7439141778314,0,0,0,0,0,0,-1758.4938876547242,-1758.4938876547242,-1758.4938876547242,-1758.4938876547242,-1758.4938876547242,-1758.4938876547242,-191.9264029120557,-191.9264029120557,-191.9264029120557,0,0,0,0,0,0,743.4385997417112,743.4385997417112,743.4385997417112,-645.7622233527628,-645.7622233527628,-645.7622233527628,0,0,0,-1631.1453866451366,2181.4501034097516,2112.51744624743,2112.51744624743,259.7735320695988
