ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,Christmas,Christmas_lower,Christmas_upper,CNY,CNY_lower,CNY_upper,holidays,holidays_lower,holidays_upper,MCO_1,MCO_1_lower,MCO_1_upper,MCO_2,MCO_2_lower,MCO_2_upper,Minor_PH,Minor_PH_lower,Minor_PH_upper,monthly,monthly_lower,monthly_upper,Raya_AA,Raya_AA_lower,Raya_AA_upper,Raya_AF,Raya_AF_lower,Raya_AF_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-01-01T00:00:00Z,2088.480619313407,-4819.226874800821,-4819.226874800821,-4819.226874800821,0,0,0,0,0,0,-1762.106876324223,-1762.106876324223,-1762.106876324223,0,0,0,0,0,0,-1762.106876324223,-1762.106876324223,-1762.106876324223,-1960.3736804209561,-1960.3736804209561,-1960.3736804209561,0,0,0,0,0,0,-1463.1076151517227,-1463.1076151517227,-1463.1076151517227,366.3612970960808,366.3612970960808,366.3612970960808,0,0,0,-4714.938797172626,-787.4446586083598,2088.480619313407,2088.480619313407,-2730.746255487414
2022-01-02T00:00:00Z,2089.1736530875082,-3575.1953618587404,-3575.1953618587404,-3575.1953618587404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1779.503725771965,-1779.503725771965,-1779.503725771965,0,0,0,0,0,0,-2074.269812449668,-2074.269812449668,-2074.269812449668,278.5781763628918,278.5781763628918,278.5781763628918,0,0,0,-3371.8919860496626,474.8084670727276,2089.1736530875082,2089.1736530875082,-1486.0217087712322
2022-01-03T00:00:00Z,2089.8666868616097,-794.1969306380405,-794.1969306380405,-794.1969306380405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1382.528795480315,-1382.528795480315,-1382.528795480315,0,0,0,0,0,0,401.45122212585204,401.45122212585204,401.45122212585204,186.88064271642156,186.88064271642156,186.88064271642156,0,0,0,-558.6389550978453,3215.84737683871,2089.8666868616097,2089.8666868616097,1295.669756223569
2022-01-04T00:00:00Z,2090.5597206357106,-367.85167710328506,-367.85167710328506,-367.85167710328506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1205.819135411456,-1205.819135411456,-1205.819135411456,0,0,0,0,0,0,745.0790140832337,745.0790140832337,745.0790140832337,92.88844422493757,92.88844422493757,92.88844422493757,0,0,0,-117.79650120303918,3694.178048725167,2090.5597206357106,2090.5597206357106,1722.7080435324256
2022-01-05T00:00:00Z,2091.2527544098125,-492.20849632518645,-492.20849632518645,-492.20849632518645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1292.6105095785463,-1292.6105095785463,-1292.6105095785463,0,0,0,0,0,0,802.1231293154923,802.1231293154923,802.1231293154923,-1.7211160621324655,-1.7211160621324655,-1.7211160621324655,0,0,0,-448.45064903641327,3411.1124389182155,2091.2527544098125,2091.2527544098125,1599.044258084626
2022-01-06T00:00:00Z,2091.9457881839135,-683.6878185752722,-683.6878185752722,-683.6878185752722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1385.2639199547746,-1385.2639199547746,-1385.2639199547746,0,0,0,0,0,0,796.8265208046033,796.8265208046033,796.8265208046033,-95.25041942510168,-95.25041942510168,-95.25041942510168,0,0,0,-646.6024939601355,3332.9871693191385,2091.9457881839135,2091.9457881839135,1408.2579696086414
2022-01-07T00:00:00Z,2092.6388219580153,-652.4545025756303,-652.4545025756303,-652.4545025756303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1258.3325500221758,-1258.3325500221758,-1258.3325500221758,0,0,0,0,0,0,791.8975412659001,791.8975412659001,791.8975412659001,-186.01949381935444,-186.01949381935444,-186.01949381935444,0,0,0,-570.5170901179808,3416.9914202849754,2092.6388219580153,2092.6388219580153,1440.1843193823852
2022-01-08T00:00:00Z,2093.3318557321163,-2684.363417932495,-2684.363417932495,-2684.363417932495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-948.8520269830086,-948.8520269830086,-948.8520269830086,0,0,0,0,0,0,-1463.1076151446127,-1463.1076151446127,-1463.1076151446127,-272.40377580487393,-272.40377580487393,-272.40377580487393,0,0,0,-2518.6326719500257,1363.5434686487288,2093.3318557321163,2093.3318557321163,-591.0315622003786
2022-01-09T00:00:00Z,2094.0248895062177,-3111.693799440191,-3111.693799440191,-3111.693799440191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-684.5532383198371,-684.5532383198371,-684.5532383198371,0,0,0,0,0,0,-2074.269812449111,-2074.269812449111,-2074.269812449111,-352.87074867124295,-352.87074867124295,-352.87074867124295,0,0,0,-2948.8555519277415,752.3251216953743,2094.0248895062177,2094.0248895062177,-1017.6689099339733
2022-01-10T00:00:00Z,2094.717923280319,-649.0216852740339,-649.0216852740339,-649.0216852740339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-624.4583503721648,-624.4583503721648,-624.4583503721648,0,0,0,0,0,0,401.45122212760737,401.45122212760737,401.45122212760737,-426.01455702947646,-426.01455702947646,-426.01455702947646,0,0,0,-473.4673869542536,3291.8245047261425,2094.717923280319,2094.717923280319,1445.6962380062853
