ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-01-01T00:00:00Z,2004.8225949739194,-1364.7706619938774,-1364.7706619938774,-1364.7706619938774,-1413.2761402663778,-1413.2761402663778,-1413.2761402663778,48.50547827250029,48.50547827250029,48.50547827250029,0,0,0,-2092.2378639897934,3537.5347475296785,2004.8225949739194,2004.8225949739194,640.051932980042
2022-01-02T00:00:00Z,2005.204316648327,-2083.684319222496,-2083.684319222496,-2083.684319222496,-2060.4116133873445,-2060.4116133873445,-2060.4116133873445,-23.272705835151683,-23.272705835151683,-23.272705835151683,0,0,0,-2886.1620825092677,2626.5871751280256,2005.204316648327,2005.204316648327,-78.48000257416902
2022-01-03T00:00:00Z,2005.5860383227343,128.32221358582314,128.32221358582314,128.32221358582314,222.86315745297367,222.86315745297367,222.86315745297367,-94.54094386715055,-94.54094386715055,-94.54094386715055,0,0,0,-481.7655058053651,4921.849438906118,2005.5860383227343,2005.5860383227343,2133.9082519085573
2022-01-04T00:00:00Z,2005.9677599971421,651.2511593600924,651.2511593600924,651.2511593600924,815.3769745706968,815.3769745706968,815.3769745706968,-164.12581521060466,-164.12581521060466,-164.12581521060466,0,0,0,-131.26294803773803,5513.046792655495,2005.9677599971421,2005.9677599971421,2657.2189193572344
2022-01-05T00:00:00Z,2006.3494816715497,522.0967952239613,522.0967952239613,522.0967952239613,752.9852161325782,752.9852161325782,752.9852161325782,-230.88842090861706,-230.88842090861706,-230.88842090861706,0,0,0,-211.3358036676431,5301.38283589084,2006.3494816715497,2006.3494816715497,2528.446276895511
2022-01-06T00:00:00Z,2006.7312033459573,536.4429252385246,536.4429252385246,536.4429252385246,830.1941275867362,830.1941275867362,830.1941275867362,-293.75120234821156,-293.75120234821156,-293.75120234821156,0,0,0,-23.54635568400324,5564.2112448295775,2006.7312033459573,2006.7312033459573,2543.174128584482
2022-01-07T00:00:00Z,2007.1129250203646,500.54493510476254,500.54493510476254,500.54493510476254,852.2682779034732,852.2682779034732,852.2682779034732,-351.7233427987107,-351.7233427987107,-351.7233427987107,0,0,0,-266.0521008867676,5165.515201723603,2007.1129250203646,2007.1129250203646,2507.657860125127
2022-01-08T00:00:00Z,2007.4946466947724,-1817.2002175466985,-1817.2002175466985,-1817.2002175466985,-1413.2761402591495,-1413.2761402591495,-1413.2761402591495,-403.9240772875492,-403.9240772875492,-403.9240772875492,0,0,0,-2633.0571981456465,2988.647184713278,2007.4946466947724,2007.4946466947724,190.29442914807396
2022-01-09T00:00:00Z,2007.87636836918,-2510.0149023705426,-2510.0149023705426,-2510.0149023705426,-2060.411613386799,-2060.411613386799,-2060.411613386799,-449.60328898374263,-449.60328898374263,-449.60328898374263,0,0,0,-3325.2223128176915,2041.2448243401163,2007.87636836918,2007.87636836918,-502.1385340013626
2022-01-10T00:00:00Z,2008.2580900435873,-265.29568282862573,-265.29568282862573,-265.29568282862573,222.86315745472595,222.86315745472595,222.86315745472595,-488.15884028335176,-488.15884028335176,-488.15884028335176,0,0,0,-905.9254037888973,4530.022931759708,2008.2580900435873,2008.2580900435873,1742.9624072149616
