y,ds,yhat,yhat_lower,yhat_upper,cutoff
90,2025-01-01T00:00:00Z,3522.3645771012375,931.1869407790789,6120.509315478771,2024-12-31T00:00:00Z
541,2025-01-02T00:00:00Z,3467.478953813059,758.9376155289933,6125.0134803621895,2024-12-31T00:00:00Z
563,2025-01-03T00:00:00Z,3306.6604613573754,669.1826497075162,5729.7676257791145,2024-12-31T00:00:00Z
42,2025-01-04T00:00:00Z,1098.16450755741,-1384.6935337465372,3626.3704350249477,2024-12-31T00:00:00Z
22,2025-01-05T00:00:00Z,505.22375628464056,-2064.6484259642525,3309.1285334656523,2024-12-31T00:00:00Z
533,2025-01-06T00:00:00Z,2745.282086023097,211.47131441127732,5331.013184820526,2024-12-31T00:00:00Z
712,2025-01-07T00:00:00Z,3283.870132681464,632.0695880071082,5953.817028954434,2024-12-31T00:00:00Z
904,2025-01-08T00:00:00Z,3229.692365169587,464.60241687669895,5809.209606476438,2024-12-31T00:00:00Z
1135,2025-01-09T00:00:00Z,3181.1759103846202,538.3597650546416,5886.6661168050305,2024-12-31T00:00:00Z
1270,2025-01-10T00:00:00Z,3030.0615851439825,408.20351807928637,5498.479890991055,2024-12-31T00:00:00Z
203,2025-01-11T00:00:00Z,834.3457132689225,-1730.9696943779213,3559.3331806092015,2024-12-31T00:00:00Z
41,2025-01-12T00:00:00Z,256.949781257375,-2429.4250895785945,2651.7354535989325,2024-12-31T00:00:00Z
1313,2025-01-13T00:00:00Z,2514.9628995769713,-204.93625720760213,5119.087545939969,2024-12-31T00:00:00Z
1609,2025-01-14T00:00:00Z,3073.526728869565,460.251317492565,5534.058657707035,2024-12-31T00:00:00Z
2010,2025-01-15T00:00:00Z,3040.932557127407,305.9996940073213,5726.712533235985,2024-12-31T00:00:00Z
2206,2025-01-16T00:00:00Z,3015.180469197498,485.65846183957416,5622.401119559931,2024-12-31T00:00:00Z
2291,2025-01-17T00:00:00Z,2887.580785767791,172.93205685602345,5431.085912801254,2024-12-31T00:00:00Z
401,2025-01-18T00:00:00Z,715.7060724831847,-1830.717522724654,3535.3200037701704,2024-12-31T00:00:00Z
129,2025-01-19T00:00:00Z,162.07050562798486,-2506.0660170481883,2831.4211311859754,2024-12-31T00:00:00Z
2385,2025-01-20T00:00:00Z,2443.381312502728,24.029338451169732,5008.3912524629295,2024-12-31T00:00:00Z
3051,2025-01-21T00:00:00Z,3024.431721605759,401.57759114591227,5569.461829708669,2024-12-31T00:00:00Z
2878,2025-01-22T00:00:00Z,3013.204915158982,475.9728588106811,5574.322139543841,2024-12-31T00:00:00Z
4853,2025-01-23T00:00:00Z,3007.4387680412665,536.0010380386782,5738.783196202562,2024-12-31T00:00:00Z
5202,2025-01-24T00:00:00Z,2898.2314323410974,243.73694948125134,5409.482160247351,2024-12-31T00:00:00Z
1624,2025-01-25T00:00:00Z,742.9959931954486,-1746.700079085013,3352.5977191068027,2024-12-31T00:00:00Z
454,2025-01-26T00:00:00Z,204.1409512414766,-2310.576028263203,2866.348466611268,2024-12-31T00:00:00Z
5598,2025-01-27T00:00:00Z,2498.3212632191376,-11.773505252340518,4918.883769098393,2024-12-31T00:00:00Z
5264,2025-01-28T00:00:00Z,3090.329432141542,438.4302227976051,5862.755828546124,2024-12-31T00:00:00Z
310,2025-01-29T00:00:00Z,3088.1962371226946,612.0781840005101,5819.612242901403,2024-12-31T00:00:00Z
255,2025-01-30T00:00:00Z,3089.751021542768,316.38502356381406,5758.776011394212,2024-12-31T00:00:00Z
6041,2025-01-31T00:00:00Z,2986.2217663303663,390.95706385158377,5703.242172692854,2024-12-31T00:00:00Z
47,2025-02-01T00:00:00Z,933.0659454936949,-1588.5314207728654,3422.0315981026347,2025-01-31T00:00:00Z
14,2025-02-02T00:00:00Z,392.0952849537907,-2284.3174942334854,2830.3498369406493,2025-01-31T00:00:00Z
454,2025-02-03T00:00:00Z,2676.099899930727,112.47432395463875,5261.365308478135,2025-01-31T00:00:00Z
626,2025-02-04T00:00:00Z,3245.9242978953384,622.3326208586406,5700.26787920247,2025-01-31T00:00:00Z
886,2025-02-05T00:00:00Z,3178.5536970890016,499.26711169070904,5656.616081873521,2025-01-31T00:00:00Z
1159,2025-02-06T00:00:00Z,3181.1316134681965,649.4082889481405,5679.668879091976,2025-01-31T00:00:00Z
1342,2025-02-07T00:00:00Z,3102.4619138877397,532.6511371432159,5592.331530472389,2025-01-31T00:00:00Z
301,2025-02-08T00:00:00Z,926.5512378488522,-1531.4384032706769,3587.328088873795,2025-01-31T00:00:00Z
54,2025-02-09T00:00:00Z,375.909579427861,-2060.4797579681754,2908.3755282526226,2025-01-31T00:00:00Z
1577,2025-02-10T00:00:00Z,2653.663415472144,129.5613894837829,5373.336422682092,2025-01-31T00:00:00Z
555,2025-02-11T00:00:00Z,3220.757638875816,564.0450435686018,5406.118323317477,2025-01-31T00:00:00Z
1823,2025-02-12T00:00:00Z,3154.168755440076,608.0353831583739,5849.819974403998,2025-01-31T00:00:00Z
2210,2025-02-13T00:00:00Z,3160.9256516421015,439.75100962387114,5637.805587885498,2025-01-31T00:00:00Z
2308,2025-02-14T00:00:00Z,3089.617792336794,483.25873172048,5646.131543301131,2025-01-31T00:00:00Z
485,2025-02-15T00:00:00Z,923.9465246981467,-1567.4127668712372,3691.559530970882,2025-01-31T00:00:00Z
118,2025-02-16T00:00:00Z,386.0369783235028,-2276.0676907728293,2925.2014709932264,2025-01-31T00:00:00Z
2482,2025-02-17T00:00:00Z,2678.5645796463737,57.49321336260723,5340.09600614991,2025-01-31T00:00:00Z
2913,2025-02-18T00:00:00Z,3261.97201651223,655.1910923697883,6024.8342441354525,2025-01-31T00:00:00Z
3106,2025-02-19T00:00:00Z,3212.698646360159,667.2097005165255,5922.031793391194,2025-01-31T00:00:00Z
3104,2025-02-20T00:00:00Z,3237.218161747811,729.789180417181,6062.874203843224,2025-01-31T00:00:00Z
3309,2025-02-21T00:00:00Z,3183.5638651871445,607.3105438781155,5980.877525122643,2025-01-31T00:00:00Z
732,2025-02-22T00:00:00Z,1034.8967235310586,-1525.4886484502324,3491.485904339187,2025-01-31T00:00:00Z
202,2025-02-23T00:00:00Z,512.8332018611702,-2033.727275015024,3358.8637994869805,2025-01-31T00:00:00Z
3545,2025-02-24T00:00:00Z,2819.5864348994146,235.64561182301756,5213.662573194295,2025-01-31T00:00:00Z
4868,2025-02-25T00:00:00Z,3415.196155266508,928.1977230598773,5972.51380949736,2025-01-31T00:00:00Z
6187,2025-02-26T00:00:00Z,3375.769010353181,865.5467156498835,6049.068388675538,2025-01-31T00:00:00Z
8082,2025-02-27T00:00:00Z,3407.524785166048,803.2960895262079,5890.022610358057,2025-01-31T00:00:00Z
14838,2025-02-28T00:00:00Z,3358.3276601664697,809.950776890875,6080.860007924794,2025-01-31T00:00:00Z
74,2025-03-01T00:00:00Z,1211.25753057391,-1407.7201484790612,3852.1882049828646,2025-01-31T00:00:00Z
27,2025-03-02T00:00:00Z,687.9383263045247,-1882.2456752371256,3283.650755040681,2025-01-31T00:00:00Z
378,2025-03-03T00:00:00Z,2990.6769135679115,492.2226734954752,5527.810696567474,2025-01-31T00:00:00Z
74,2025-03-01T00:00:00Z,1569.8391385980235,-926.5830321351131,4071.9928661202684,2025-02-28T00:00:00Z
27,2025-03-02T00:00:00Z,1054.28062000166,-1457.1244287854881,3735.0770572746583,2025-02-28T00:00:00Z
378,2025-03-03T00:00:00Z,3342.69515058055,770.8003357391901,5937.528026157065,2025-02-28T00:00:00Z
666,2025-03-04T00:00:00Z,3913.624763495521,1456.8602418941666,6543.678126874638,2025-02-28T00:00:00Z
793,2025-03-05T00:00:00Z,3870.873747831136,1098.08667793533,6508.916162835971,2025-02-28T00:00:00Z
1426,2025-03-06T00:00:00Z,3887.066043375263,1315.4903257202957,6292.808887645683,2025-02-28T00:00:00Z
1674,2025-03-07T00:00:00Z,3847.114794184908,1204.7381665920516,6525.947313546498,2025-02-28T00:00:00Z
310,2025-03-08T00:00:00Z,1592.9968217203395,-914.343630933154,4318.438560768203,2025-02-28T00:00:00Z
109,2025-03-09T00:00:00Z,1031.0518782491608,-1558.0070357767213,3661.2835687952775,2025-02-28T00:00:00Z
1900,2025-03-10T00:00:00Z,3276.1651132015118,750.0367076225359,6052.10435177122,2025-02-28T00:00:00Z
2294,2025-03-11T00:00:00Z,3807.826303166686,1057.7180158717663,6281.053318222252,2025-02-28T00:00:00Z
2576,2025-03-12T00:00:00Z,3730.6699000567505,1107.1137884419081,6383.769149288581,2025-02-28T00:00:00Z
2235,2025-03-13T00:00:00Z,3718.010283057439,1106.8275821337381,6542.97002949253,2025-02-28T00:00:00Z
3818,2025-03-14T00:00:00Z,3655.2930917724543,1018.8754472277185,6607.344317334932,2025-02-28T00:00:00Z
927,2025-03-15T00:00:00Z,1384.855905870364,-1358.290880906146,4111.401897500626,2025-02-28T00:00:00Z
263,2025-03-16T00:00:00Z,813.2185112055049,-1877.222297133237,3569.391047450915,2025-02-28T00:00:00Z
4812,2025-03-17T00:00:00Z,3055.261428893341,340.82396199264684,5731.6989947597785,2025-02-28T00:00:00Z
1459,2025-03-18T00:00:00Z,3590.2863589643603,964.387129027923,6040.321896622869,2025-02-28T00:00:00Z
3508,2025-03-19T00:00:00Z,3522.5625495393942,773.0992446348686,6231.312587303186,2025-02-28T00:00:00Z
3947,2025-03-20T00:00:00Z,3524.873289666505,988.1482435154071,6123.976398807428,2025-02-28T00:00:00Z
4280,2025-03-21T00:00:00Z,3481.9830780017883,849.3544868661883,6043.780680551111,2025-02-28T00:00:00Z
1076,2025-03-22T00:00:00Z,1235.4182788136702,-1475.3429223379298,3862.115302622717,2025-02-28T00:00:00Z
301,2025-03-23T00:00:00Z,690.780936181025,-1821.7701878993519,3242.705496557544,2025-02-28T00:00:00Z
4292,2025-03-24T00:00:00Z,2961.9537545494095,394.3539249789546,5760.387317326121,2025-02-28T00:00:00Z
5571,2025-03-25T00:00:00Z,3527.1891491829033,644.5222868794306,6178.875986128713,2025-02-28T00:00:00Z
6352,2025-03-26T00:00:00Z,3489.685570564625,743.31925756372,6082.63196556165,2025-02-28T00:00:00Z
8836,2025-03-27T00:00:00Z,3521.1644583872558,892.6378465924904,6161.704063944818,2025-02-28T00:00:00Z
9717,2025-03-28T00:00:00Z,3505.367523006585,926.8686120413519,6244.437699507388,2025-02-28T00:00:00Z
3249,2025-03-29T00:00:00Z,1282.8663237825795,-1446.8231738188847,3718.1071742392223,2025-02-28T00:00:00Z
198,2025-03-30T00:00:00Z,758.4030092035673,-1773.3818173091233,3541.5216552691277,2025-02-28T00:00:00Z
53,2025-03-31T00:00:00Z,3045.11947968369,105.94993940808249,5713.016502767061,2025-02-28T00:00:00Z
2,2025-04-01T00:00:00Z,3864.1781873521795,1320.8125338102236,6321.84177782168,2025-03-31T00:00:00Z
105,2025-04-02T00:00:00Z,3835.124129622114,1220.668285721662,6484.739129813815,2025-03-31T00:00:00Z
284,2025-04-03T00:00:00Z,3863.349209505629,1391.9052517059704,6660.260077208726,2025-03-31T00:00:00Z
403,2025-04-04T00:00:00Z,3835.4164188222767,1076.005640453152,6350.164711886803,2025-03-31T00:00:00Z
47,2025-04-05T00:00:00Z,1534.737718687708,-1098.696306976422,4033.3013210583704,2025-03-31T00:00:00Z
11,2025-04-06T00:00:00Z,949.4143576130189,-1707.1942861787072,3564.378763582771,2025-03-31T00:00:00Z
477,2025-04-07T00:00:00Z,3179.398301630802,695.99776034152,5734.5494932685115,2025-03-31T00:00:00Z
775,2025-04-08T00:00:00Z,3694.0107841901204,959.6133356346274,6320.681013343638,2025-03-31T00:00:00Z
1016,2025-04-09T00:00:00Z,3618.5688842041513,945.9817767401513,6165.87975787718,2025-03-31T00:00:00Z
1422,2025-04-10T00:00:00Z,3601.781874989182,1049.3377393523363,6291.851270982587,2025-03-31T00:00:00Z
1565,2025-04-11T00:00:00Z,3531.198559250659,1031.8196169601483,6123.8693507541875,2025-03-31T00:00:00Z
276,2025-04-12T00:00:00Z,1191.1808628256983,-1576.7393884111564,3859.6545895833005,2025-03-31T00:00:00Z
55,2025-04-13T00:00:00Z,570.7198615716645,-2107.1529628370763,3153.286599375973,2025-03-31T00:00:00Z
1634,2025-04-14T00:00:00Z,2770.5743599499338,281.9033555031062,5326.810681914645,2025-03-31T00:00:00Z
1965,2025-04-15T00:00:00Z,3260.7686506625314,714.6237690724302,5991.423036947736,2025-03-31T00:00:00Z
2361,2025-04-16T00:00:00Z,3167.200928869466,531.0420743187996,5721.677468126101,2025-03-31T00:00:00Z
2761,2025-04-17T00:00:00Z,3139.024596933036,503.84376483004843,5909.7225070882405,2025-03-31T00:00:00Z
2721,2025-04-18T00:00:00Z,3064.084082333139,371.41442674908376,5485.987108308582,2025-03-31T00:00:00Z
420,2025-04-19T00:00:00Z,726.8807516527829,-2086.0985961485285,3312.5835699755135,2025-03-31T00:00:00Z
166,2025-04-20T00:00:00Z,116.38529949883605,-2588.3879720845853,2561.421391920709,2025-03-31T00:00:00Z
2715,2025-04-21T00:00:00Z,2333.1768240117394,-134.38059597716935,4864.712581726031,2025-03-31T00:00:00Z
3162,2025-04-22T00:00:00Z,2846.9451976085916,358.3087549853884,5490.319654566887,2025-03-31T00:00:00Z
3604,2025-04-23T00:00:00Z,2783.108072729023,236.5440999667641,5505.476767806342,2025-03-31T00:00:00Z
3831,2025-04-24T00:00:00Z,2790.20451577274,140.08831372246976,5397.281339877012,2025-03-31T00:00:00Z
4600,2025-04-25T00:00:00Z,2755.3465470974083,197.08714821574668,5487.263961361002,2025-03-31T00:00:00Z
1014,2025-04-26T00:00:00Z,462.2037331951319,-2289.998153450463,3126.1237407178496,2025-03-31T00:00:00Z
198,2025-04-27T00:00:00Z,-101.16330646887218,-2666.7228684851975,2353.1224024987923,2025-03-31T00:00:00Z
5133,2025-04-28T00:00:00Z,2164.8591525891097,-201.40182850899595,4851.110278503758,2025-03-31T00:00:00Z
7913,2025-04-29T00:00:00Z,2728.964516266062,222.00502247069346,5373.334558812327,2025-03-31T00:00:00Z
14564,2025-04-30T00:00:00Z,2715.567652592129,44.834962593676934,5244.5235907566,2025-03-31T00:00:00Z
24,2025-05-01T00:00:00Z,2772.2231981166406,145.46620326096297,5432.78784025364,2025-03-31T00:00:00Z
24,2025-05-01T00:00:00Z,3228.6649225975134,585.6815777601462,5778.711573176431,2025-04-30T00:00:00Z
750,2025-05-02T00:00:00Z,3240.483918740835,552.0706498894556,5770.156003002362,2025-04-30T00:00:00Z
