ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-01-01T00:00:00Z,1983.417645707085,-1391.3583265808818,-1391.3583265808818,-1391.3583265808818,-1408.4757928598628,-1408.4757928598628,-1408.4757928598628,17.117466278981315,17.117466278981315,17.117466278981315,0,0,0,-2339.0698489956626,3392.8238587473306,1983.417645707085,1983.417645707085,592.0593191262033
2022-01-02T00:00:00Z,1983.8531522568499,-2102.8665418737587,-2102.8665418737587,-2102.8665418737587,-2056.7708941968117,-2056.7708941968117,-2056.7708941968117,-46.09564767694698,-46.09564767694698,-46.09564767694698,0,0,0,-2650.2873845627414,2555.884134738173,1983.8531522568499,1983.8531522568499,-119.01338961690885
2022-01-03T00:00:00Z,1984.2886588066146,109.80463561173015,109.80463561173015,109.80463561173015,218.0291976827915,218.0291976827915,218.0291976827915,-108.22456207106133,-108.22456207106133,-108.22456207106133,0,0,0,-626.8120624243096,4687.314349652646,1984.2886588066146,1984.2886588066146,2094.0932944183446
2022-01-04T00:00:00Z,1984.7241653563792,616.5682301792016,616.5682301792016,616.5682301792016,784.9535587723265,784.9535587723265,784.9535587723265,-168.38532859312502,-168.38532859312502,-168.38532859312502,0,0,0,-137.72932280712897,5425.204691259692,1984.7241653563792,1984.7241653563792,2601.292395535581
2022-01-05T00:00:00Z,1985.159671906144,576.0431178806197,576.0431178806197,576.0431178806197,801.7803570264863,801.7803570264863,801.7803570264863,-225.73723914586668,-225.73723914586668,-225.73723914586668,0,0,0,-280.89242041014137,5288.197137894946,1985.159671906144,1985.159671906144,2561.202789786764
2022-01-06T00:00:00Z,1985.5951784559088,552.927302798827,552.927302798827,552.927302798827,832.4274927413618,832.4274927413618,832.4274927413618,-279.5001899425349,-279.5001899425349,-279.5001899425349,0,0,0,-145.4768298535327,5354.266437937137,1985.5951784559088,1985.5951784559088,2538.522481254736
2022-01-07T00:00:00Z,1986.0306850056731,499.0854328811397,499.0854328811397,499.0854328811397,828.0560808265972,828.0560808265972,828.0560808265972,-328.9706479454574,-328.9706479454574,-328.9706479454574,0,0,0,-437.06203847908137,5212.861315404709,1986.0306850056731,1986.0306850056731,2485.116117886813
2022-01-08T00:00:00Z,1986.466191555438,-1782.0116347985233,-1782.0116347985233,-1782.0116347985233,-1408.4757928527467,-1408.4757928527467,-1408.4757928527467,-373.5358419457767,-373.5358419457767,-373.5358419457767,0,0,0,-2451.9262582880865,2969.500370668433,1986.466191555438,1986.466191555438,204.4545567569146
2022-01-09T00:00:00Z,1986.9016981052025,-2469.456737870834,-2469.456737870834,-2469.456737870834,-2056.7708941963033,-2056.7708941963033,-2056.7708941963033,-412.68584367453076,-412.68584367453076,-412.68584367453076,0,0,0,-3216.475266176007,2387.138972311427,1986.9016981052025,1986.9016981052025,-482.55503976563136
2022-01-10T00:00:00Z,1987.3372046549673,-227.9940581250709,-227.9940581250709,-227.9940581250709,218.02919768453253,218.02919768453253,218.02919768453253,-446.0232558096035,-446.0232558096035,-446.0232558096035,0,0,0,-1061.0318280188108,4484.251934067015,1987.3372046549673,1987.3372046549673,1759.3431465298963
2022-01-11T00:00:00Z,1987.772711204732,311.68327646550006,311.68327646550006,311.68327646550006,784.9535587724902,784.9535587724902,784.9535587724902,-473.2702823069898,-473.2702823069898,-473.2702823069898,0,0,0,-464.25278681647734,4892.490628185308,1987.772711204732,1987.772711204732,2299.4559876702324
2022-01-12T00:00:00Z,1988.208217754497,307.50733638709806,307.50733638709806,307.50733638709806,801.7803570263021,801.7803570263021,801.7803570263021,-494.2730206392039,-494.2730206392039,-494.2730206392039,0,0,0,-554.889054013235,5198.044116369226,1988.208217754497,1988.208217754497,2295.715554141595
2022-01-13T00:00:00Z,1988.6437243042617,323.42460909327474,323.42460909327474,323.42460909327474,832.4274927410272,832.4274927410272,832.4274927410272,-509.00288364775236,-509.00288364775236,-509.00288364775236,0,0,0,-575.097005711703,5070.455680854671,1988.6437243042617,1988.6437243042617,2312.0683333975367
2022-01-14T00:00:00Z,1989.0792308540263,310.500951756912,310.500951756912,310.500951756912,828.0560808311844,828.0560808311844,828.0560808311844,-517.5551290742724,-517.5551290742724,-517.5551290742724,0,0,0,-423.9481719035067,5108.152109981019,1989.0792308540263,1989.0792308540263,2299.580182610938
2022-01-15T00:00:00Z,1989.514737403791,-1928.6203384860912,-1928.6203384860912,-1928.6203384860912,-1408.47579285387,-1408.47579285387,-1408.47579285387,-520.1445456322213,-520.1445456322213,-520.1445456322213,0,0,0,-2611.1094748848764,3030.1049174788327,1989.514737403791,1989.514737403791,60.894398917699846
2022-01-16T00:00:00Z,1989.9502439535559,-2573.869308129973,-2573.869308129973,-2573.869308129973,-2056.7708941943197,-2056.7708941943197,-2056.7708941943197,-517.098413935653,-517.098413935653,-517.098413935653,0,0,0,-3274.4139855869935,2241.194231919474,1989.9502439535559,1989.9502439535559,-583.9190641764171
2022-01-17T00:00:00Z,1990.3857505033207,-290.81772924945835,-290.81772924945835,-290.81772924945835,218.0291976862735,218.0291976862735,218.0291976862735,-508.8469269357319,-508.8469269357319,-508.8469269357319,0,0,0,-1090.1848958478472,4520.567371178393,1990.3857505033207,1990.3857505033207,1699.5680212538623
2022-01-18T00:00:00Z,1990.821257053085,289.0422427017082,289.0422427017082,289.0422427017082,784.9535587726533,784.9535587726533,784.9535587726533,-495.911316070945,-495.911316070945,-495.911316070945,0,0,0,-433.95097779020745,5055.521370581863,1990.821257053085,1990.821257053085,2279.8634997547933
2022-01-19T00:00:00Z,1991.2567636028496,322.89037247660815,322.89037247660815,322.89037247660815,801.7803570266759,801.7803570266759,801.7803570266759,-478.88998455006765,-478.88998455006765,-478.88998455006765,0,0,0,-292.66408869874965,5226.549054130725,1991.2567636028496,1991.2567636028496,2314.1471360794576
2022-01-20T00:00:00Z,1991.6922701526144,373.9844960528184,373.9844960528184,373.9844960528184,832.427492741714,832.427492741714,832.427492741714,-458.4429966888955,-458.4429966888955,-458.4429966888955,0,0,0,-366.58295077236573,5086.6956737979335,1991.6922701526144,1991.6922701526144,2365.6767662054326
2022-01-21T00:00:00Z,1992.1277767023792,392.78077000908945,392.78077000908945,392.78077000908945,828.0560808297563,828.0560808297563,828.0560808297563,-435.2753108206669,-435.2753108206669,-435.2753108206669,0,0,0,-299.6344545151725,5215.5945613652275,1992.1277767023792,1992.1277767023792,2384.9085467114687
2022-01-22T00:00:00Z,1992.563283252144,-1818.5949649176991,-1818.5949649176991,-1818.5949649176991,-1408.475792856631,-1408.475792856631,-1408.475792856631,-410.1191720610683,-410.1191720610683,-410.1191720610683,0,0,0,-2645.327920139634,2939.7445462525498,1992.563283252144,1992.563283252144,173.9683183344448
