ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-01-01T00:00:00Z,1966.3855211963703,-3155.0345578612355,-3155.0345578612355,-3155.0345578612355,-1937.3434911866207,-1937.3434911866207,-1937.3434911866207,-1408.9806679148323,-1408.9806679148323,-1408.9806679148323,191.28960124021737,191.28960124021737,191.28960124021737,0,0,0,-3263.772019978199,883.1346864784492,1966.3855211963703,1966.3855211963703,-1188.6490366648652
2022-01-02T00:00:00Z,1966.919616874635,-3688.989576051648,-3688.989576051648,-3688.989576051648,-1745.576182485087,-1745.576182485087,-1745.576182485087,-2060.9747470692205,-2060.9747470692205,-2060.9747470692205,117.56135350265977,117.56135350265977,117.56135350265977,0,0,0,-3970.857308944911,515.5713516451772,1966.919616874635,1966.919616874635,-1722.0699591770128
2022-01-03T00:00:00Z,1967.4537125528993,-1140.6065137887192,-1140.6065137887192,-1140.6065137887192,-1397.9321018814742,-1397.9321018814742,-1397.9321018814742,214.50219404682244,214.50219404682244,214.50219404682244,42.82339404593155,42.82339404593155,42.82339404593155,0,0,0,-1381.3804747406032,2760.155643951116,1967.4537125528993,1967.4537125528993,826.8471987641801
2022-01-04T00:00:00Z,1967.987808231164,-454.7664090441877,-454.7664090441877,-454.7664090441877,-1216.330807756494,-1216.330807756494,-1216.330807756494,793.2503129424784,793.2503129424784,793.2503129424784,-31.685914230172127,-31.685914230172127,-31.685914230172127,0,0,0,-624.2451230714502,3500.133704924876,1967.987808231164,1967.987808231164,1513.2213991869764
2022-01-05T00:00:00Z,1968.5219039094286,-568.1536137022796,-568.1536137022796,-568.1536137022796,-1216.5864593704541,-1216.5864593704541,-1216.5864593704541,753.1712417630976,753.1712417630976,753.1712417630976,-104.73839609492303,-104.73839609492303,-104.73839609492303,0,0,0,-922.1093533293059,3597.0988711208893,1968.5219039094286,1968.5219039094286,1400.3682902071491
2022-01-06T00:00:00Z,1969.0559995876933,-555.1884904375811,-555.1884904375811,-555.1884904375811,-1218.1142012454368,-1218.1142012454368,-1218.1142012454368,838.0700496432067,838.0700496432067,838.0700496432067,-175.14433883535108,-175.14433883535108,-175.14433883535108,0,0,0,-640.4395204282081,3634.4571657348897,1969.0559995876933,1969.0559995876933,1413.8675091501123
2022-01-07T00:00:00Z,1969.5900952659579,-457.7340381620014,-457.7340381620014,-457.7340381620014,-1086.9158662651578,-1086.9158662651578,-1086.9158662651578,870.9616165811813,870.9616165811813,870.9616165811813,-241.77978847802538,-241.77978847802538,-241.77978847802538,0,0,0,-598.5452821159073,3647.9952015394792,1969.5900952659579,1969.5900952659579,1511.8560571039566
2022-01-08T00:00:00Z,1970.1241909442224,-2578.3356439708386,-2578.3356439708386,-2578.3356439708386,-865.7428095036303,-865.7428095036303,-865.7428095036303,-1408.9806679075705,-1408.9806679075705,-1408.9806679075705,-303.61216655963733,-303.61216655963733,-303.61216655963733,0,0,0,-2734.779610427,1573.1854101566332,1970.1241909442224,1970.1241909442224,-608.2114530266163
2022-01-09T00:00:00Z,1970.6582866224871,-3115.0664523989253,-3115.0664523989253,-3115.0664523989253,-694.3681548605172,-694.3681548605172,-694.3681548605172,-2060.97474706869,-2060.97474706869,-2060.97474706869,-359.72355046971853,-359.72355046971853,-359.72355046971853,0,0,0,-3205.138270224679,1123.3229342124969,1970.6582866224871,1970.6582866224871,-1144.4081657764382
2022-01-10T00:00:00Z,1971.1923823007517,-835.0110913369346,-835.0110913369346,-835.0110913369346,-640.1822634922147,-640.1822634922147,-640.1822634922147,214.5021940485737,214.5021940485737,214.5021940485737,-409.33102189329355,-409.33102189329355,-409.33102189329355,0,0,0,-818.2653709234891,3147.5340823082006,1971.1923823007517,1971.1923823007517,1136.181290963817
2022-01-11T00:00:00Z,1971.7264779790162,-288.9686538221744,-288.9686538221744,-288.9686538221744,-630.4154013632906,-630.4154013632906,-630.4154013632906,793.2503129426336,793.2503129426336,793.2503129426336,-451.8035654015176,-451.8035654015176,-451.8035654015176,0,0,0,-320.3461969009864,3798.1387186211937,1971.7264779790162,1971.7264779790162,1682.7578241568417
