ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,Christmas,Christmas_lower,Christmas_upper,CNY,CNY_lower,CNY_upper,holidays,holidays_lower,holidays_upper,MCO_1,MCO_1_lower,MCO_1_upper,MCO_2,MCO_2_lower,MCO_2_upper,Minor_PH,Minor_PH_lower,Minor_PH_upper,monthly,monthly_lower,monthly_upper,Raya_AA,Raya_AA_lower,Raya_AA_upper,Raya_AF,Raya_AF_lower,Raya_AF_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-01-01T00:00:00Z,2153.7911754795655,-4988.9747326013185,-4988.9747326013185,-4988.9747326013185,0,0,0,0,0,0,-2013.1929999209287,-2013.1929999209287,-2013.1929999209287,0,0,0,0,0,0,-2013.1929999209287,-2013.1929999209287,-2013.1929999209287,-1893.8724496052855,-1893.8724496052855,-1893.8724496052855,0,0,0,0,0,0,-1478.1610565790575,-1478.1610565790575,-1478.1610565790575,396.25177350395313,396.25177350395313,396.25177350395313,0,0,0,-4701.755555608297,-867.4824423960785,2153.7911754795655,2153.7911754795655,-2835.183557121753
2022-01-02T00:00:00Z,2154.2723033397415,-3513.9725805672365,-3513.9725805672365,-3513.9725805672365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1727.7497580863533,-1727.7497580863533,-1727.7497580863533,0,0,0,0,0,0,-2085.8149247053534,-2085.8149247053534,-2085.8149247053534,299.5921022244699,299.5921022244699,299.5921022244699,0,0,0,-3305.0663320408485,776.6505129342652,2154.2723033397415,2154.2723033397415,-1359.700277227495
2022-01-03T00:00:00Z,2154.7534311999184,-807.2793661012496,-807.2793661012496,-807.2793661012496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1403.0064726450235,-1403.0064726450235,-1403.0064726450235,0,0,0,0,0,0,396.81471057195176,396.81471057195176,396.81471057195176,198.9123959718225,198.9123959718225,198.9123959718225,0,0,0,-522.6699792968911,3329.8929884440313,2154.7534311999184,2154.7534311999184,1347.4740650986687
2022-01-04T00:00:00Z,2155.234559060095,-396.2547821604391,-396.2547821604391,-396.2547821604391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1263.4378408559576,-1263.4378408559576,-1263.4378408559576,0,0,0,0,0,0,771.1163282671262,771.1163282671262,771.1163282671262,96.06673042839275,96.06673042839275,96.06673042839275,0,0,0,-219.93853224961558,3842.870836942023,2155.234559060095,2155.234559060095,1758.9797768996557
2022-01-05T00:00:00Z,2155.715686920271,-568.714685419573,-568.714685419573,-568.714685419573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1317.6495441171503,-1317.6495441171503,-1317.6495441171503,0,0,0,0,0,0,755.9731125948412,755.9731125948412,755.9731125948412,-7.038253897264531,-7.038253897264531,-7.038253897264531,0,0,0,-570.9253977718297,3467.9141019875406,2155.715686920271,2155.715686920271,1587.0010015006978
2022-01-06T00:00:00Z,2156.1968147804478,-634.3440337581768,-634.3440337581768,-634.3440337581768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1350.1210749562638,-1350.1210749562638,-1350.1210749562638,0,0,0,0,0,0,824.2639852617829,824.2639852617829,824.2639852617829,-108.4869440636964,-108.4869440636964,-108.4869440636964,0,0,0,-479.48779664258933,3522.679700958739,2156.1968147804478,2156.1968147804478,1521.8527810222708
2022-01-07T00:00:00Z,2156.6779426406238,-590.12149417344,-590.12149417344,-590.12149417344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1199.5305918180434,-1199.5305918180434,-1199.5305918180434,0,0,0,0,0,0,815.8078445821861,815.8078445821861,815.8078445821861,-206.3987469375831,-206.3987469375831,-206.3987469375831,0,0,0,-434.64570288290196,3611.034486571433,2156.6779426406238,2156.6779426406238,1566.5564484671836
2022-01-08T00:00:00Z,2157.1590705008,-2698.887467211711,-2698.887467211711,-2698.887467211711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-921.7550226383963,-921.7550226383963,-921.7550226383963,0,0,0,0,0,0,-1478.16105657183,-1478.16105657183,-1478.16105657183,-298.97138800148474,-298.97138800148474,-298.97138800148474,0,0,0,-2626.256171463691,1450.4383847886745,2157.1590705008,2157.1590705008,-541.7283967109106
2022-01-09T00:00:00Z,2157.6401983609767,-3174.5495020901744,-3174.5495020901744,-3174.5495020901744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-704.2121400810445,-704.2121400810445,-704.2121400810445,0,0,0,0,0,0,-2085.8149247047436,-2085.8149247047436,-2085.8149247047436,-384.52243730438676,-384.52243730438676,-384.52243730438676,0,0,0,-3008.632638114793,906.8353069226383,2157.6401983609767,2157.6401983609767,-1016.9093037291977
2022-01-10T00:00:00Z,2158.121326221153,-718.4128758131934,-718.4128758131934,-718.4128758131934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-653.6995613750463,-653.6995613750463,-653.6995613750463,0,0,0,0,0,0,396.8147105737042,396.8147105737042,396.8147105737042,-461.52802501185147,-461.52802501185147,-461.52802501185147,0,0,0,-477.626727339539,3421.7635353804803,2158.121326221153,2158.121326221153,1439.7084504079598
