ds,trend,cap,additive_terms,additive_terms_lower,additive_terms_upper,Christmas,Christmas_lower,Christmas_upper,CNY,CNY_lower,CNY_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,is_final_2ld,is_final_2ld_lower,is_final_2ld_upper,is_final_day,is_final_day_lower,is_final_day_upper,is_final_week,is_final_week_lower,is_final_week_upper,is_first_2days,is_first_2days_lower,is_first_2days_upper,is_first_day,is_first_day_lower,is_first_day_upper,is_first_week,is_first_week_lower,is_first_week_upper,MCO_1,MCO_1_lower,MCO_1_upper,MCO_2,MCO_2_lower,MCO_2_upper,Minor_PH,Minor_PH_lower,Minor_PH_upper,monthly,monthly_lower,monthly_upper,Raya_AA,Raya_AA_lower,Raya_AA_upper,Raya_AF,Raya_AF_lower,Raya_AF_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-01-01T00:00:00Z,1853.2310115254247,2500,-5426.622842006654,-5426.622842006654,-5426.622842006654,0,0,0,0,0,0,-2164.0635798370704,-2164.0635798370704,-2164.0635798370704,-1799.2206219342527,-1799.2206219342527,-1799.2206219342527,0,0,0,0,0,0,0,0,0,0,0,0,-1092.5309019829676,-1092.5309019829676,-1092.5309019829676,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,-1799.2206219342527,-1799.2206219342527,-1799.2206219342527,-370.6707127326444,-370.6707127326444,-370.6707127326444,0,0,0,0,0,0,-1484.8850128391243,-1484.8850128391243,-1484.8850128391243,392.2170853364378,392.2170853364378,392.2170853364378,0,0,0,-4980.493230532558,-2017.1837769744802,1853.2310115254247,1853.2310115254247,-3573.3918304812287
2022-01-02T00:00:00Z,1854.5370868776574,2500,-4555.8487988464185,-4555.8487988464185,-4555.8487988464185,0,0,0,0,0,0,-2418.4289674278543,-2418.4289674278543,-2418.4289674278543,0,0,0,0,0,0,0,0,0,0,0,0,-1346.8962895737511,-1346.8962895737511,-1346.8962895737511,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,-370.78129870498077,-370.78129870498077,-370.78129870498077,0,0,0,0,0,0,-2075.1593969925552,-2075.1593969925552,-2075.1593969925552,308.5208642789723,308.5208642789723,308.5208642789723,0,0,0,-4161.907890400121,-1264.1619655031934,1854.5370868776574,1854.5370868776574,-2701.3117119687613
2022-01-03T00:00:00Z,1855.8414415105228,2500,-784.4635237051051,-784.4635237051051,-784.4635237051051,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,-344.2939191244051,-344.2939191244051,-344.2939191244051,0,0,0,0,0,0,410.46535571035974,410.46535571035974,410.46535571035974,220.89771756304341,220.89771756304341,220.89771756304341,0,0,0,-593.3765478989902,2435.6426734104502,1855.8414415105228,1855.8414415105228,1071.3779178054178
2022-01-04T00:00:00Z,1857.1440739857221,2500,-613.0061883218872,-613.0061883218872,-613.0061883218872,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,-413.328499790169,-413.328499790169,-413.328499790169,0,0,0,0,0,0,740.9350044994418,740.9350044994418,740.9350044994418,130.91998482294312,130.91998482294312,130.91998482294312,0,0,0,-241.90138178046314,2682.2436563889078,1857.1440739857221,1857.1440739857221,1244.1378856638348
2022-01-05T00:00:00Z,1858.4449828815323,2500,-864.2729243185797,-864.2729243185797,-864.2729243185797,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,-609.1655124746445,-609.1655124746445,-609.1655124746445,0,0,0,0,0,0,776.2088254647313,776.2088254647313,776.2088254647313,40.21644054543678,40.21644054543678,40.21644054543678,0,0,0,-395.98154086965906,2476.8019571166624,1858.4449828815323,1858.4449828815323,994.1720585629525
2022-01-06T00:00:00Z,1859.7441667927799,2500,-1161.290282464716,-1161.290282464716,-1161.290282464716,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,-867.30509707584,-867.30509707584,-867.30509707584,0,0,0,0,0,0,827.1121520059544,827.1121520059544,827.1121520059544,-49.564659540727405,-49.564659540727405,-49.564659540727405,0,0,0,-796.5513161070567,2035.9350762918211,1859.7441667927799,1859.7441667927799,698.4538843280639
2022-01-07T00:00:00Z,1861.0416243308166,2500,-1350.0504277529044,-1350.0504277529044,-1350.0504277529044,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,-947.0475932787375,-947.0475932787375,-947.0475932787375,0,0,0,0,0,0,805.3230721447962,805.3230721447962,805.3230721447962,-136.79322876485978,-136.79322876485978,-136.79322876485978,0,0,0,-1041.0023674854647,2055.2246137119187,1861.0416243308166,1861.0416243308166,510.9911965779122
2022-01-08T00:00:00Z,1862.3373541234932,2500,-2503.6911232127295,-2503.6911232127295,-2503.6911232127295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-798.9113493474493,-798.9113493474493,-798.9113493474493,0,0,0,0,0,0,-1484.885012831973,-1484.885012831973,-1484.885012831973,-219.894761033308,-219.894761033308,-219.894761033308,0,0,0,-2107.5648074089995,792.1608238747883,1862.3373541234932,1862.3373541234932,-641.3537690892363
2022-01-09T00:00:00Z,1863.631354815135,2500,-3039.332751258712,-3039.332751258712,-3039.332751258712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666.7867854815331,-666.7867854815331,-666.7867854815331,0,0,0,0,0,0,-2075.1593969919586,-2075.1593969919586,-2075.1593969919586,-297.3865687852201,-297.3865687852201,-297.3865687852201,0,0,0,-2588.233816221139,235.74519231374242,1863.631354815135,1863.631354815135,-1175.701396443577
2022-01-10T00:00:00Z,1864.9236250665124,2500,-560.773098041626,-560.773098041626,-560.773098041626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-603.3265161078582,-603.3265161078582,-603.3265161078582,0,0,0,0,0,0,410.465355712101,410.465355712101,410.465355712101,-367.9119376458689,-367.9119376458689,-367.9119376458689,0,0,0,-110.56537186419338,2780.5551179276395,1864.9236250665124,1864.9236250665124,1304.1505270248863
